Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;3;3;Update;Time;2529200
NMF;Q1;1;3;3;Update;Memory;78249984
NMF;Q1;1;3;3;Update;Elements;404236|167197|404315
NMF;Q1;1;3;4;Update;Time;2005600
NMF;Q1;1;3;4;Update;Memory;78249984
NMF;Q1;1;3;4;Update;Elements;167197|404236|404315
NMF;Q1;1;3;5;Update;Time;2661600
NMF;Q1;1;3;5;Update;Memory;78249984
NMF;Q1;1;3;5;Update;Elements;167197|404236|404315
NMF;Q1;1;3;6;Update;Time;2178700
NMF;Q1;1;3;6;Update;Memory;78249984
NMF;Q1;1;3;6;Update;Elements;167197|404236|404315
NMF;Q1;1;3;7;Update;Time;2410600
NMF;Q1;1;3;7;Update;Memory;78249984
NMF;Q1;1;3;7;Update;Elements;167197|404236|404315
NMF;Q1;1;3;8;Update;Time;2492200
NMF;Q1;1;3;8;Update;Memory;78249984
NMF;Q1;1;3;8;Update;Elements;167197|404236|404315
NMF;Q1;1;3;9;Update;Time;2749500
NMF;Q1;1;3;9;Update;Memory;78249984
NMF;Q1;1;3;9;Update;Elements;167197|404236|404315
NMF;Q1;1;3;10;Update;Time;2229400
NMF;Q1;1;3;10;Update;Memory;78249984
NMF;Q1;1;3;10;Update;Elements;167197|404236|404315
NMF;Q1;1;3;11;Update;Time;2479400
NMF;Q1;1;3;11;Update;Memory;78381056
NMF;Q1;1;3;11;Update;Elements;167197|404236|404315
NMF;Q1;1;3;12;Update;Time;2546100
NMF;Q1;1;3;12;Update;Memory;78381056
NMF;Q1;1;3;12;Update;Elements;167197|404236|404315
NMF;Q1;1;3;13;Update;Time;2113800
NMF;Q1;1;3;13;Update;Memory;78381056
NMF;Q1;1;3;13;Update;Elements;404236|167197|404315
NMF;Q1;1;3;14;Update;Time;3268300
NMF;Q1;1;3;14;Update;Memory;78381056
NMF;Q1;1;3;14;Update;Elements;404236|167197|404315
NMF;Q1;1;3;15;Update;Time;9915900
NMF;Q1;1;3;15;Update;Memory;79036416
NMF;Q1;1;3;15;Update;Elements;404236|167197|404315
NMF;Q1;1;3;16;Update;Time;4431600
NMF;Q1;1;3;16;Update;Memory;79167488
NMF;Q1;1;3;16;Update;Elements;404236|167197|404315
NMF;Q1;1;3;17;Update;Time;5750800
NMF;Q1;1;3;17;Update;Memory;79429632
NMF;Q1;1;3;17;Update;Elements;404236|167197|404315
NMF;Q1;1;3;18;Update;Time;3266300
NMF;Q1;1;3;18;Update;Memory;79429632
NMF;Q1;1;3;18;Update;Elements;404236|167197|404315
NMF;Q1;1;3;19;Update;Time;2443400
NMF;Q1;1;3;19;Update;Memory;79691776
NMF;Q1;1;3;19;Update;Elements;404236|167197|404315
NMF;Q1;1;3;20;Update;Time;2350800
NMF;Q1;1;3;20;Update;Memory;79691776
NMF;Q1;1;3;20;Update;Elements;404236|167197|404315
NMF;Q1;1;4;0;Initialization;Time;401499000
NMF;Q1;1;4;0;Initialization;Memory;74579968
NMF;Q1;1;4;0;Load;Time;69642300
NMF;Q1;1;4;0;Load;Memory;77856768
NMF;Q1;1;4;0;Initial;Time;14217500
NMF;Q1;1;4;0;Initial;Memory;78118912
NMF;Q1;1;4;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;4;1;Update;Time;3622100
NMF;Q1;1;4;1;Update;Memory;78462976
